price,accommodates,bedrooms,beds,latitude,longitude,host_is_superhost,host_identity_verified,host_response_rate,instant_bookable,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,space_efficiency,price_per_bedroom,price_per_bathroom,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,property_type_label,property_type_frequency,neighbourhood_frequency,neighbourhood_label
500.0,6,3.0,3.0,32.8251,-117.18851,0.0,1.0,1.0,0,31,1125,30,60,90,365,1.0,166.66666666666666,250.0,True,False,False,14,0.2494977902772197,0.0089895540377661,19
245.0,2,1.0,1.0,37.75139435697348,-122.4235290560743,0.0,1.0,1.0,1,1,365,1,10,28,225,1.0,245.0,245.0,False,True,False,25,0.0029128163921253,0.0269184411410204,69
54.0,1,1.0,1.0,37.76329,-122.47808,0.0,1.0,1.0,0,30,90,29,59,89,364,1.0,54.0,54.0,False,True,False,40,0.0393230212936922,0.0167738047408597,91
71.0,2,0.0,1.0,32.7113378,-117.160699,0.0,1.0,1.0,1,2,29,15,43,73,348,1.0,113.0,14.2,False,True,False,40,0.0393230212936922,0.0154680594616311,42
175.0,3,1.0,2.0,32.70799,-117.16076,0.0,0.0,1.0,1,1,1125,10,21,41,169,2.0,175.0,175.0,False,False,False,51,0.0708115709120128,0.0154680594616311,42
172.0,4,0.0,2.0,32.712303487637506,-117.16207764499605,1.0,1.0,0.93,1,2,30,22,46,76,76,1.0,113.0,172.0,True,False,False,18,0.2372940940136601,0.0154680594616311,42
376.0,8,4.0,6.0,32.83502,-117.19134,0.0,1.0,1.0,0,31,365,30,60,90,364,1.5,94.0,125.33333333333331,True,False,False,14,0.2494977902772197,0.0069304941743672,81
453.0,6,3.0,3.0,32.79461,-117.20095,0.0,1.0,1.0,0,3,1125,0,0,20,31,1.0,151.0,181.2,True,False,False,14,0.2494977902772197,0.0106468461229409,6
241.0,16,4.0,4.0,32.767754437821594,-117.08224904961207,1.0,1.0,1.0,0,3,31,17,35,56,330,1.0,60.25,120.5,True,False,False,14,0.2494977902772197,0.0047207713941341,20
93.0,1,1.0,1.0,37.7877,-122.41211,1.0,1.0,1.0,0,32,112,25,50,76,76,1.0,93.0,93.0,False,True,False,47,0.002209722780233,0.06046605062274,29
175.0,2,1.0,2.0,37.77851,-122.4105,1.0,1.0,1.0,1,1,1125,4,29,59,269,2.0,175.0,175.0,False,False,False,51,0.0708115709120128,0.0296805946163117,118
150.0,2,1.0,1.0,37.80329,-122.40633,0.0,1.0,1.0,0,30,90,0,26,56,146,1.0,150.0,150.0,True,False,False,10,0.1206307754118119,0.0116010445962233,79
175.0,5,2.0,2.0,37.77523619999999,-122.3883972,0.0,1.0,1.0,1,2,14,0,0,0,0,1.0,87.5,87.5,True,False,False,18,0.2372940940136601,0.0296805946163117,118
363.0,8,4.0,5.0,32.7886468,-117.2352766,1.0,1.0,1.0,1,31,45,15,45,75,346,1.25,90.75,363.0,True,False,False,14,0.2494977902772197,0.0850743270389714,70
175.0,2,1.0,2.0,37.78268,-122.39888,0.0,1.0,1.0,0,190,205,0,0,0,0,2.0,175.0,175.0,True,False,False,18,0.2372940940136601,0.0296805946163117,118
175.0,4,1.0,2.0,37.7884626572256,-122.40930062637575,0.0,1.0,1.0,1,3,3,0,0,0,0,2.0,175.0,175.0,True,False,False,18,0.2372940940136601,0.06046605062274,29
131.0,4,2.0,2.0,32.74311,-117.13221,0.0,1.0,1.0,0,31,1125,0,0,0,171,1.0,65.5,131.0,True,False,False,21,0.0186319807151466,0.0276717557251908,82
196.0,2,1.0,1.0,32.71917,-117.13725,0.0,1.0,0.7,0,31,1125,30,60,90,365,1.0,196.0,196.0,True,False,False,10,0.1206307754118119,0.0120530333467255,3
80.0,2,1.0,1.0,37.78305,-122.47407,0.0,1.0,1.0,1,30,1125,0,0,8,283,1.0,80.0,80.0,False,True,False,40,0.0393230212936922,0.0095419847328244,50
66.0,2,1.0,1.0,37.71144,-122.44691,0.0,1.0,0.8,1,30,1000,30,60,90,270,1.0,66.0,66.0,False,True,False,37,0.0874849337083165,0.0067798312575331,89
201.0,7,3.0,4.0,32.7155,-117.13686,1.0,0.0,1.0,1,1,30,25,55,85,265,1.3333333333333333,67.0,201.0,True,False,False,14,0.2494977902772197,0.0120530333467255,3
106.0,2,1.0,1.0,32.71461,-117.14115,0.0,1.0,1.0,0,31,60,29,59,89,89,1.0,106.0,53.0,False,True,False,37,0.0874849337083165,0.0120530333467255,3
175.0,2,1.0,2.0,37.74778,-122.41007,0.0,1.0,1.0,0,30,120,0,0,0,0,2.0,175.0,175.0,True,False,False,18,0.2372940940136601,0.013057452792286,9
104.0,2,0.0,0.0,32.79281,-117.15476,0.0,1.0,1.0,1,1,365,0,23,53,328,1.0,113.0,104.0,True,False,False,18,0.2372940940136601,0.002310164724789,10
390.0,8,4.0,6.0,32.722787,-117.2348861,0.0,1.0,1.0,1,1,365,27,55,81,84,1.5,97.5,195.0,True,False,False,14,0.2494977902772197,0.0059762957010847,107
175.0,4,3.0,2.0,37.76945,-122.42456,0.0,1.0,1.0,0,4,14,0,0,0,0,0.6666666666666666,58.333333333333336,175.0,True,False,False,10,0.1206307754118119,0.0269184411410204,69
175.0,4,1.0,2.0,37.779903998647534,-122.42183564529267,1.0,1.0,0.15,0,2,1125,0,0,1,1,2.0,175.0,175.0,True,False,False,18,0.2372940940136601,0.06046605062274,29
112.0,2,1.0,1.0,32.9049507,-117.1247148,1.0,1.0,1.0,0,31,1125,23,53,83,358,1.0,112.0,112.0,True,False,False,10,0.1206307754118119,0.0103455202892728,68
155.0,2,0.0,1.0,37.7502,-122.42299,1.0,1.0,1.0,0,2,29,7,29,53,311,1.0,113.0,155.0,True,False,False,18,0.2372940940136601,0.0269184411410204,69
133.0,2,1.0,1.0,32.8018829,-117.2041925,1.0,0.0,1.0,0,2,90,8,31,56,240,1.0,133.0,133.0,True,False,False,13,0.0311872237846524,0.0106468461229409,6
512.0,4,2.0,2.0,37.7872571,-122.3963215,0.0,1.0,1.0,1,31,1125,0,0,7,282,1.0,256.0,256.0,True,False,False,18,0.2372940940136601,0.0132583366813981,41
315.0,7,3.0,4.0,32.7486874,-117.24386,1.0,1.0,1.0,1,1,365,7,32,58,319,1.3333333333333333,105.0,157.5,True,False,False,14,0.2494977902772197,0.0179791080755323,62
45.0,1,1.0,1.0,37.713351691499994,-122.43590300852584,0.0,1.0,1.0,0,30,365,0,0,0,25,1.0,45.0,30.0,False,True,False,37,0.0874849337083165,0.0024608276416231,24
365.0,4,1.0,2.0,32.78544,-117.25394,0.0,1.0,1.0,1,31,31,30,60,90,270,2.0,365.0,365.0,True,False,False,14,0.2494977902772197,0.0850743270389714,70
186.0,10,4.0,6.0,32.85718,-117.20973,1.0,1.0,1.0,0,1,365,9,34,59,147,1.5,46.5,93.0,True,False,False,14,0.2494977902772197,0.0101446364001607,129
274.0,2,1.0,1.0,37.775227735904394,-122.41798957726472,1.0,1.0,0.98,0,30,1125,8,38,53,53,1.0,274.0,274.0,True,False,False,20,0.0095419847328244,0.0296805946163117,118
166.0,2,2.0,2.0,37.74331,-122.41865,1.0,1.0,1.0,0,30,365,0,0,0,153,1.0,83.0,166.0,True,False,False,18,0.2372940940136601,0.013057452792286,9
